raza,vida_min,vida_max,vida_promedio,peso_macho_max,peso_hembra_max,peso_promedio,categoria_peso,diferencia_sexual_peso,hipoalergenico,fecha_extraccion
Mountain Cur,12,15,13.5,30,30,30.0,Grande,0,False,2026-03-26T12:16:51.083706
Mudi,12,15,13.5,15,15,15.0,Pequeño,0,False,2026-03-26T12:16:51.083710
Neapolitan Mastiff,9,11,10.0,70,60,65.0,Gigante,10,False,2026-03-26T12:16:51.083713
Nederlandse Kooikerhondje,12,15,13.5,15,15,15.0,Pequeño,0,False,2026-03-26T12:16:51.083716
Newfoundland,8,10,9.0,70,70,70.0,Gigante,0,False,2026-03-26T12:16:51.083719
Norfolk Terrier,12,15,13.5,6,6,6.0,Muy pequeño,0,False,2026-03-26T12:16:51.083723
Norrbottenspets,12,15,13.5,10,10,10.0,Pequeño,0,False,2026-03-26T12:16:51.083728
Norwegian Buhund,12,14,13.0,16,16,16.0,Pequeño,0,False,2026-03-26T12:16:51.083732
Norwegian Elkhound,12,15,13.5,25,23,24.0,Mediano,2,False,2026-03-26T12:16:51.083735
Norwegian Lundehund,12,15,13.5,9,8,8.5,Muy pequeño,1,False,2026-03-26T12:16:51.083738
Norwich Terrier,12,15,13.5,6,6,6.0,Muy pequeño,0,False,2026-03-26T12:16:51.083741
Nova Scotia Duck Tolling Retriever,12,14,13.0,16,16,16.0,Pequeño,0,False,2026-03-26T12:16:51.083744
Old English Sheepdog,10,12,11.0,50,45,47.5,Gigante,5,False,2026-03-26T12:16:51.083748
Otterhound,8,10,9.0,45,45,45.0,Gigante,0,False,2026-03-26T12:16:51.083751
Papillon,12,15,13.5,4,4,4.0,Muy pequeño,0,False,2026-03-26T12:16:51.083754
Parson Russell Terrier,12,14,13.0,8,8,8.0,Muy pequeño,0,False,2026-03-26T12:16:51.083757
Pekingese,12,14,13.0,7,7,7.0,Muy pequeño,0,False,2026-03-26T12:16:51.083763
Pembroke Welsh Corgi,12,15,13.5,13,13,13.0,Pequeño,0,False,2026-03-26T12:16:51.083766
Perro de Presa Canario,10,12,11.0,50,45,47.5,Gigante,5,False,2026-03-26T12:16:51.083770
Peruvian Inca Orchid,12,15,13.5,15,15,15.0,Pequeño,0,False,2026-03-26T12:16:51.083773
Petit Basset Griffon Vendéen,12,14,13.0,16,16,16.0,Pequeño,0,False,2026-03-26T12:16:51.083778
Pharaoh Hound,12,14,13.0,25,25,25.0,Mediano,0,False,2026-03-26T12:16:51.083782
Plott,12,14,13.0,41,41,41.0,Grande,0,False,2026-03-26T12:16:51.083785
Pointer,12,14,13.0,30,30,30.0,Grande,0,False,2026-03-26T12:16:51.083788
Polish Lowland Sheepdog,12,14,13.0,20,20,20.0,Mediano,0,False,2026-03-26T12:16:51.083792
Pomeranian,12,16,14.0,5,5,5.0,Muy pequeño,0,False,2026-03-26T12:16:51.083795
Poodle (Miniature),14,16,15.0,7,7,7.0,Muy pequeño,0,False,2026-03-26T12:16:51.083804
Poodle (Standard),12,15,13.5,30,30,30.0,Grande,0,False,2026-03-26T12:16:51.083808
Poodle (Toy),14,16,15.0,4,4,4.0,Muy pequeño,0,True,2026-03-26T12:16:51.083811
Porcelaine,12,15,13.5,10,10,10.0,Pequeño,0,False,2026-03-26T12:16:51.083814
Portuguese Podengo,12,14,13.0,10,10,10.0,Pequeño,0,False,2026-03-26T12:16:51.083817
Portuguese Podengo Pequeno,12,15,13.5,6,6,6.0,Muy pequeño,0,False,2026-03-26T12:16:51.083821
Portuguese Pointer,12,14,13.0,30,30,30.0,Grande,0,False,2026-03-26T12:16:51.083824
Portuguese Sheepdog,12,14,13.0,30,30,30.0,Grande,0,False,2026-03-26T12:16:51.083827
Portuguese Water Dog,12,15,13.5,30,27,28.5,Mediano,3,False,2026-03-26T12:16:51.083831
Pudelpointer,12,15,13.5,30,25,27.5,Mediano,5,False,2026-03-26T12:16:51.083834
Pug,12,15,13.5,8,8,8.0,Muy pequeño,0,False,2026-03-26T12:16:51.083840
Puli,12,15,13.5,14,14,14.0,Pequeño,0,False,2026-03-26T12:16:51.083846
